Token,Uid,Link
RepRosendale,1.34475E+18,https://twitter.com/RepRosendale?s=20
Yvette4congress,8.98788E+17,https://twitter.com/Yvette4congress?s=20
RepHerrell,1.34442E+18,https://twitter.com/RepHerrell?s=20
GarbarinoforNY,1.22259E+18,https://twitter.com/GarbarinoforNY?s=20
RepGarbarino,1.34435E+18,https://twitter.com/RepGarbarino?s=20
NMalliotakis,757862089,https://twitter.com/NMalliotakis?s=20
RepMalliotakis,1.34475E+18,https://twitter.com/RepMalliotakis?s=20
claudiatenney,756285384,https://twitter.com/claudiatenney?s=20
CawthornforNC,1.20787E+18,https://twitter.com/CawthornforNC?s=20
RepCawthorn,1.34401E+18,https://twitter.com/RepCawthorn?s=20
stephaniebice,32289500,https://twitter.com/stephaniebice?s=20
RepBice,1.34426E+18,https://twitter.com/RepBice?s=20
CliffBentz,1.2161E+18,https://twitter.com/CliffBentz?s=20
RepBentz,1.34579E+18,https://twitter.com/RepBentz?s=20
NancyMace,9.14816E+17,https://twitter.com/NancyMace?s=20
DHarshbargerTN1,1.23791E+18,https://twitter.com/DHarshbargerTN1?s=20
RepHarshbarger,1.34579E+18,https://twitter.com/RepHarshbarger?s=20
FallonForTexas,256157258,https://twitter.com/FallonForTexas?s=20
RepPatFallon,1.34326E+18,https://twitter.com/RepPatFallon?s=20
AugustPfluger,1.02122E+18,https://twitter.com/AugustPfluger?s=20
RepPfluger,1.34112E+18,https://twitter.com/RepPfluger?s=20
RonnyJacksonTX,1.20195E+18,https://twitter.com/RonnyJacksonTX?s=20
RepRonnyJackson,1.3419E+18,https://twitter.com/RepRonnyJackson?s=20
PeteSessions,24735461,https://twitter.com/PeteSessions?s=20
SessionsTX17,2756069574,https://twitter.com/SessionsTX17?s=20
SheriffTNehls,3299995136,https://twitter.com/SheriffTNehls?s=20
TroyNehls,563471310,https://twitter.com/TroyNehls?s=20
TonyGonzales4TX,1.12404E+18,https://twitter.com/TonyGonzales4TX?s=20
RepTonyGonzales,1.34363E+18,https://twitter.com/RepTonyGonzales?s=20
Bethvanduyne,489856457,https://twitter.com/Bethvanduyne?s=20
ElectBlakeMoore,551935844,https://twitter.com/ElectBlakeMoore?s=20
RepBlakeMoore,1.33745E+18,https://twitter.com/RepBlakeMoore?s=20
BurgessOwens,779104195,https://twitter.com/BurgessOwens?s=20
GoodForCongress,1.19147E+18,https://twitter.com/GoodForCongress?s=20
RepBobGood,1.34554E+18,https://twitter.com/RepBobGood?s=20
FitzgeraldForWI,1.1694E+18,https://twitter.com/FitzgeraldForWI?s=20
RepFitzgerald,1004891731,https://twitter.com/RepFitzgerald?s=20
bradyfortexas,570005456,https://twitter.com/bradyfortexas
chiproytx,1257667158,https://twitter.com/chiproytx
chuck4congress,50036176,https://twitter.com/chuck4congress
reschenthaler,477223342,https://twitter.com/reschenthaler
RepAmata,3026622545,https://twitter.com/RepAmata
RepJenniffer,8.19745E+17,https://twitter.com/RepJenniffer
RepRobBishop,148006729,https://twitter.com/RepRobBishop
Armstrong_ND,9.64997E+17,https://twitter.com/Armstrong_ND
BrianFitzUSA,4905487413,https://twitter.com/BrianFitzUSA
DanCrenshawTX,9.30553E+17,https://twitter.com/DanCrenshawTX
DaveJoyceOH14,727242919,https://twitter.com/DaveJoyceOH14
DavidKustoff,317386234,https://twitter.com/DavidKustoff
DonJBacon,3109108467,https://twitter.com/DonJBacon
DrMarkGreen4TN,93412074,https://twitter.com/DrMarkGreen4TN
Duncan4Congress,21048033,https://twitter.com/Duncan4Congress
DustyJohnson,140529899,https://twitter.com/DustyJohnson
GregForMontana,3420965229,https://twitter.com/GregForMontana
GT_TeamGT,304138251,https://twitter.com/GT_TeamGT
JaimeForUSRep,97963837,https://twitter.com/JaimeForUSRep
Jim_Banks,14836282,https://twitter.com/Jim_Banks
JohnRoseforTN,8.94941E+17,https://twitter.com/JohnRoseforTN
JudgeJohnCarter,404355121,https://twitter.com/JudgeJohnCarter
SteveScaliseGOP,2746741969,https://twitter.com/SteveScaliseGOP
LloydSmuckerPA,4212470319,https://twitter.com/LloydSmuckerPA
LuetkemeyerB,2554870803,https://twitter.com/LuetkemeyerB
MarioDBCamp,374816353,https://twitter.com/MarioDBCamp
McCaulforTexas,743601590,https://twitter.com/McCaulforTexas
McHenryCampaign,481437062,https://twitter.com/McHenryCampaign
MichaelJCloud,23725826,https://twitter.com/MichaelJCloud
MikeforWI,1558285818,https://twitter.com/MikeforWI
MikeRogersCamp,76069325,https://twitter.com/MikeRogersCamp
MooneyforWV,1491350114,https://twitter.com/MooneyforWV
RalphNorman,61886317,https://twitter.com/RalphNorman
RepBalderson,1.03734E+18,https://twitter.com/RepBalderson
RepPeteOlson,20053279,https://twitter.com/RepPeteOlson
RobBishopUT,7.12783E+17,https://twitter.com/RobBishopUT
JudgeCarter,18030431,https://twitter.com/JudgeCarter
SteveChabot,23775782,https://twitter.com/SteveChabot
RepTimmons,1.07977E+18,https://twitter.com/RepTimmons
BryanSteil,9.86424E+17,https://twitter.com/BryanSteil
RepFredKeller,1.13606E+18,https://twitter.com/RepFredKeller
Lancegooden,1.02909E+18,https://twitter.com/Lancegooden
RepCarolMiller,1.08132E+18,https://twitter.com/RepCarolMiller
RepJohnJoyce,1.08231E+18,https://twitter.com/RepJohnJoyce
RepDLesko,9.96095E+17,https://twitter.com/RepDLesko
RepCloudTX,1.03988E+18,https://twitter.com/RepCloudTX
RepAGonzalez,1.05438E+18,https://twitter.com/RepAGonzalez
RepBenCline,1.07216E+18,https://twitter.com/RepBenCline
RepVanTaylor,1.07504E+18,https://twitter.com/RepVanTaylor
RepBryanSteil,1.07521E+18,https://twitter.com/RepBryanSteil
RepPeteStauber,1.07583E+18,https://twitter.com/RepPeteStauber
RepArmstrongND,1.08052E+18,https://twitter.com/RepArmstrongND
RepDanCrenshaw,1.08089E+18,https://twitter.com/RepDanCrenshaw
RepMarshall,7.52364E+17,https://twitter.com/RepMarshall
RepDrewFerguson,8.06584E+17,https://twitter.com/RepDrewFerguson
RepTrey,8.11986E+17,https://twitter.com/RepTrey
DrNealDunnFL2,8.15952E+17,https://twitter.com/DrNealDunnFL2
RepJimBanks,8.16131E+17,https://twitter.com/RepJimBanks
RepArrington,8.16285E+17,https://twitter.com/RepArrington
RepBrianFitz,8.16303E+17,https://twitter.com/RepBrianFitz
RepGonzalez,8.18536E+17,https://twitter.com/RepGonzalez
RepMattGaetz,8.18949E+17,https://twitter.com/RepMattGaetz
RepRutherfordFL,8.28977E+17,https://twitter.com/RepRutherfordFL
RepClayHiggins,8.43637E+17,https://twitter.com/RepClayHiggins
RepRonEstes,8.54715E+17,https://twitter.com/RepRonEstes
DrPaulGosar,8.72149E+17,https://twitter.com/DrPaulGosar
RepRalphNorman,8.80481E+17,https://twitter.com/RepRalphNorman
GregPenceIN,8.90039E+17,https://twitter.com/GregPenceIN
RepGuthrie,1908143071,https://twitter.com/RepGuthrie
RepByrne,2253968388,https://twitter.com/RepByrne
RepRobWoodall,2382685057,https://twitter.com/RepRobWoodall
RepMoolenaar,2696643955,https://twitter.com/RepMoolenaar
USRepGaryPalmer,2861616083,https://twitter.com/USRepGaryPalmer
RepTomEmmer,2914515430,https://twitter.com/RepTomEmmer
RepNewhouse,2930635215,https://twitter.com/RepNewhouse
RepFrenchHill,2953974395,https://twitter.com/RepFrenchHill
RepAbraham,2962891515,https://twitter.com/RepAbraham
RepRickAllen,2964287128,https://twitter.com/RepRickAllen
RepBost,2964877294,https://twitter.com/RepBost
CongressmanHice,2975091705,https://twitter.com/CongressmanHice
BrianMastFL,3170031728,https://twitter.com/BrianMastFL
RepTrentKelly,3317799825,https://twitter.com/RepTrentKelly
VoteForTrey,3431000296,https://twitter.com/VoteForTrey
GReschenthaler,4205133682,https://twitter.com/GReschenthaler
FrancisRooney,4433285713,https://twitter.com/FrancisRooney
MikeJohnson,4849654052,https://twitter.com/MikeJohnson
RepAndyHarrisMD,960962340,https://twitter.com/RepAndyHarrisMD
RepThomasMassie,975200486,https://twitter.com/RepThomasMassie
RodneyDavis,993153006,https://twitter.com/RodneyDavis
TXRandy14,1058051748,https://twitter.com/TXRandy14
RepTomRice,1058345042,https://twitter.com/RepTomRice
RepMullin,1060370282,https://twitter.com/RepMullin
RepLaMalfa,1069124515,https://twitter.com/RepLaMalfa
RepChrisStewart,1072008757,https://twitter.com/RepChrisStewart
SusanWBrooks,1074101017,https://twitter.com/SusanWBrooks
RepAndyBarr,1089334250,https://twitter.com/RepAndyBarr
SteveScalise,1209417007,https://twitter.com/SteveScalise
USRepLong,1444015610,https://twitter.com/USRepLong
RepJasonSmith,1623308912,https://twitter.com/RepJasonSmith
Buddy_Carter,295712099,https://twitter.com/Buddy_Carter
CongPalazzo,299883942,https://twitter.com/CongPalazzo
MikeSimpson4ID,314223728,https://twitter.com/MikeSimpson4ID
MarkAmodeiNV2,402719755,https://twitter.com/MarkAmodeiNV2
RepBradWenstrup,518644221,https://twitter.com/RepBradWenstrup
standwithbarry,586191770,https://twitter.com/standwithbarry
Troy_Balderson,603083228,https://twitter.com/Troy_Balderson
RepDavidRouzer,834069080,https://twitter.com/RepDavidRouzer
MikeKellyPA,935368364,https://twitter.com/MikeKellyPA
SeanDuffyWI,234022257,https://twitter.com/SeanDuffyWI
RepTomGraves,190328374,https://twitter.com/RepTomGraves
RepSteveStivers,211420609,https://twitter.com/RepSteveStivers
RepDavid,229197216,https://twitter.com/RepDavid
rep_stevewomack,234469322,https://twitter.com/rep_stevewomack
RepLarryBucshon,234812598,https://twitter.com/RepLarryBucshon
RepChuck,235190657,https://twitter.com/RepChuck
RepMoBrooks,237299871,https://twitter.com/RepMoBrooks
RepSteveChabot,237750442,https://twitter.com/RepSteveChabot
RepWalberg,237862972,https://twitter.com/RepWalberg
RepJeffDuncan,240393970,https://twitter.com/RepJeffDuncan
RepMcKinley,240427862,https://twitter.com/RepMcKinley
RepFrankLucas,242772524,https://twitter.com/RepFrankLucas
HerreraBeutler,242926427,https://twitter.com/HerreraBeutler
RepTomReed,252819323,https://twitter.com/RepTomReed
RepKayGranger,161743731,https://twitter.com/RepKayGranger
RussFulcher,172944579,https://twitter.com/RussFulcher
BradleyByrne,42481696,https://twitter.com/BradleyByrne
SteveKingIA,48117116,https://twitter.com/SteveKingIA
RepMcClintock,50152441,https://twitter.com/RepMcClintock
RepMikeTurner,51228911,https://twitter.com/RepMikeTurner
DevinNunes,54412900,https://twitter.com/DevinNunes
CongMikeSimpson,76132891,https://twitter.com/CongMikeSimpson
Robert_Aderholt,76452765,https://twitter.com/Robert_Aderholt
brettguthrie,114607567,https://twitter.com/brettguthrie
barrforcongress,115186195,https://twitter.com/barrforcongress
Harris4Congress,122713203,https://twitter.com/Harris4Congress
Steve4Kansas,129259273,https://twitter.com/Steve4Kansas
WebsterCongress,136526394,https://twitter.com/WebsterCongress
AdamKinzinger,18004222,https://twitter.com/AdamKinzinger
RepPeteKing,18277655,https://twitter.com/RepPeteKing
RepScottPerry,18773159,https://twitter.com/RepScottPerry
JeffFortenberry,18805303,https://twitter.com/JeffFortenberry
VernBuchanan,20467163,https://twitter.com/VernBuchanan
gregsteube,21924842,https://twitter.com/gregsteube
replouiegohmert,22055226,https://twitter.com/replouiegohmert
TomColeOK04,23124635,https://twitter.com/TomColeOK04
RepKenMarchant,23976316,https://twitter.com/RepKenMarchant
TomGravesGA14,24852012,https://twitter.com/TomGravesGA14
congbillposey,25086658,https://twitter.com/congbillposey
RepMcCaul,26424123,https://twitter.com/RepMcCaul
RepWalterJones,26778110,https://twitter.com/RepWalterJones
PatrickMcHenry,27676828,https://twitter.com/PatrickMcHenry
RepSamGraves,29766367,https://twitter.com/RepSamGraves
RepMikeRogersAL,33977070,https://twitter.com/RepMikeRogersAL
DebbieLesko,34715823,https://twitter.com/DebbieLesko
MarioDB,37094727,https://twitter.com/MarioDB
RepSmucker,41417564,https://twitter.com/RepSmucker
jackiewalorski,14562874,https://twitter.com/jackiewalorski
RobWittman,15356407,https://twitter.com/RobWittman
kevinomccarthy,15428227,https://twitter.com/kevinomccarthy
michaelcburgess,15751083,https://twitter.com/michaelcburgess
tommcclintock,15773898,https://twitter.com/tommcclintock
leezeldin,15874918,https://twitter.com/leezeldin
PeteOlson,12726012,https://twitter.com/PeteOlson
boblatta,15394954,https://twitter.com/boblatta
RepShimkus,15600527,https://twitter.com/RepShimkus
virginiafoxx,16256269,https://twitter.com/virginiafoxx
cathymcmorris,17976923,https://twitter.com/cathymcmorris
Jim_Jordan,18166778,https://twitter.com/Jim_Jordan
CongressmanGT,18967498,https://twitter.com/CongressmanGT
GOPLeader,19739126,https://twitter.com/GOPLeader
RepKevinBrady,19926675,https://twitter.com/RepKevinBrady
DavidSchweikert,21509894,https://twitter.com/DavidSchweikert
KenCalvert,22545491,https://twitter.com/KenCalvert
RepGusBilirakis,26051676,https://twitter.com/RepGusBilirakis
repgregwalden,32010840,https://twitter.com/repgregwalden
KingforCongress,194729373,https://twitter.com/KingforCongress
RepBillJohnson,211530910,https://twitter.com/RepBillJohnson
RepKinzinger,219429281,https://twitter.com/RepKinzinger
RepRickCrawford,233693291,https://twitter.com/RepRickCrawford
RepHuizenga,233949261,https://twitter.com/RepHuizenga
RepMGriffith,234057152,https://twitter.com/RepMGriffith
AustinScottGA08,234797704,https://twitter.com/AustinScottGA08
RepBobGibbs,234822928,https://twitter.com/RepBobGibbs
DesJarlaisTN04,235312723,https://twitter.com/DesJarlaisTN04
RepHartzler,237763317,https://twitter.com/RepHartzler
RepGosar,240760644,https://twitter.com/RepGosar
RepTipton,242873057,https://twitter.com/RepTipton
RepJoeWilson,254082173,https://twitter.com/RepJoeWilson
RepWebster,281540744,https://twitter.com/RepWebster
ConawayTX11,295685416,https://twitter.com/ConawayTX11
RepAdrianSmith,296245061,https://twitter.com/RepAdrianSmith
MacTXPress,377534571,https://twitter.com/MacTXPress
rickallen,385111151,https://twitter.com/rickallen
RepHalRogers,550401754,https://twitter.com/RepHalRogers
RepDLamborn,584012853,https://twitter.com/RepDLamborn
garretgraves,587100576,https://twitter.com/garretgraves
RossSpano,605615715,https://twitter.com/RossSpano
michaelgwaltz,833673914,https://twitter.com/michaelgwaltz
RepRichHudson,935033864,https://twitter.com/RepRichHudson
RepDaveJoyce,976969338,https://twitter.com/RepDaveJoyce
RepAnnWagner,1051446626,https://twitter.com/RepAnnWagner
RepHolding,1058460818,https://twitter.com/RepHolding
RepDougCollins,1060487274,https://twitter.com/RepDougCollins
RepWalorski,1065995022,https://twitter.com/RepWalorski
RepTedYoho,1071900114,https://twitter.com/RepTedYoho
RepRWilliams,1077446982,https://twitter.com/RepRWilliams
WestermanAR,1592481150,https://twitter.com/WestermanAR
JimHagedornMN,1729773254,https://twitter.com/JimHagedornMN
RepBlaine,1849261916,https://twitter.com/RepBlaine
JamesComer,838462994,https://twitter.com/JamesComer
MarkMeadows,963480595,https://twitter.com/MarkMeadows
BostForCongress,2282437802,https://twitter.com/BostForCongress
Palmer4Alabama,2296943622,https://twitter.com/Palmer4Alabama
DocAbraham,2543008999,https://twitter.com/DocAbraham
DonYoungAK,2559398984,https://twitter.com/DonYoungAK
RepWesterman,2852998461,https://twitter.com/RepWesterman
RepKenBuck,2862577383,https://twitter.com/RepKenBuck
RepLoudermilk,2914163523,https://twitter.com/RepLoudermilk
RepBrianBabin,2929491549,https://twitter.com/RepBrianBabin
RepGarretGraves,2951574214,https://twitter.com/RepGarretGraves
RepStefanik,2962813893,https://twitter.com/RepStefanik
HurdOnTheHill,2963445730,https://twitter.com/HurdOnTheHill
RepAlexMooney,2964526557,https://twitter.com/RepAlexMooney
RepMarkWalker,2966205003,https://twitter.com/RepMarkWalker
RepJohnKatko,2966765501,https://twitter.com/RepJohnKatko
RepBuddyCarter,2973870195,https://twitter.com/RepBuddyCarter
RepGrothman,2976606250,https://twitter.com/RepGrothman
RepLaHood,3686482216,https://twitter.com/RepLaHood
JohnMShimkus,4490291893,https://twitter.com/JohnMShimkus
andybiggs4az,7.02601E+17,https://twitter.com/andybiggs4az
RonEstesKS,7.22555E+17,https://twitter.com/RonEstesKS
WarrenDavidson,7.42736E+17,https://twitter.com/WarrenDavidson
RepBrianMast,8.14104E+17,https://twitter.com/RepBrianMast
RepJackBergman,8.15242E+17,https://twitter.com/RepJackBergman
RepGallagher,8.15967E+17,https://twitter.com/RepGallagher
RepDavidKustoff,8.16012E+17,https://twitter.com/RepDavidKustoff
RepRooney,8.16112E+17,https://twitter.com/RepRooney
RepAndyBiggsAZ,8.16653E+17,https://twitter.com/RepAndyBiggsAZ
RepLizCheney,8.1672E+17,https://twitter.com/RepLizCheney
RepTedBudd,8.17138E+17,https://twitter.com/RepTedBudd
RepDonBacon,8.18975E+17,https://twitter.com/RepDonBacon
RepMikeJohnson,8.2728E+17,https://twitter.com/RepMikeJohnson
RepJohnCurtis,9.31614E+17,https://twitter.com/RepJohnCurtis
CaptClayHiggins,1.01105E+18,https://twitter.com/CaptClayHiggins
RepTimBurchett,1.02885E+18,https://twitter.com/RepTimBurchett
repkevinhern,1.06782E+18,https://twitter.com/repkevinhern
RepDustyJohnson,1.07478E+18,https://twitter.com/RepDustyJohnson
RepRussFulcher,1.07874E+18,https://twitter.com/RepRussFulcher
BuckForColorado,34959770,https://twitter.com/BuckForColorado
repdonyoung,37007274,https://twitter.com/repdonyoung
DrPhilRoe,52503751,https://twitter.com/DrPhilRoe
mattgaetz,58579942,https://twitter.com/mattgaetz
womack4congress,112651673,https://twitter.com/womack4congress
RepFredUpton,124224165,https://twitter.com/RepFredUpton
JodyHice,130003817,https://twitter.com/JodyHice
RepMarkGreen,1.08048E+18,https://twitter.com/RepMarkGreen
RepRiggleman,1.0805E+18,https://twitter.com/RepRiggleman
RepMeuser,1.08057E+18,https://twitter.com/RepMeuser
RepRonWright,1.08085E+18,https://twitter.com/RepRonWright
RepMichaelGuest,1.08124E+18,https://twitter.com/RepMichaelGuest
RepJohnRose,1.08131E+18,https://twitter.com/RepJohnRose
RepGregPence,1.08237E+18,https://twitter.com/RepGregPence
RepChipRoy,1.08279E+18,https://twitter.com/RepChipRoy
RepGregSteube,1.08313E+18,https://twitter.com/RepGregSteube
RepJimBaird,1.08632E+18,https://twitter.com/RepJimBaird
anthonygonzalez,9.00026E+17,https://twitter.com/anthonygonzalez
auctnr1,21572351,https://twitter.com/auctnr1
AnnLWagner,219010139,https://twitter.com/AnnLWagner
buddforcongress,7.20353E+17,https://twitter.com/buddforcongress
foxxforcongress,61608485,https://twitter.com/foxxforcongress
Cline4Virginia,40264497,https://twitter.com/Cline4Virginia
CurtisUT,26057209,https://twitter.com/CurtisUT
DavidRouzer,127941167,https://twitter.com/DavidRouzer
Denver4VA,8.18508E+17,https://twitter.com/Denver4VA
DunnCampaign,3433189197,https://twitter.com/DunnCampaign
EliseStefanik,109579534,https://twitter.com/EliseStefanik
GeorgeHolding,334245076,https://twitter.com/GeorgeHolding
GrothmanforWI,2432952828,https://twitter.com/GrothmanforWI
GuestCongress,9.5375E+17,https://twitter.com/GuestCongress
JackBergman_MI1,7.51799E+17,https://twitter.com/JackBergman_MI1
JasonSmithMO,26653478,https://twitter.com/JasonSmithMO
JodeyArrington,3609064098,https://twitter.com/JodeyArrington
JohnJoyceForPA,9.69328E+17,https://twitter.com/JohnJoyceForPA
JohnsonLeads,81207735,https://twitter.com/JohnsonLeads
petekingcpg,1630397408,https://twitter.com/petekingcpg
krhern,19168067,https://twitter.com/krhern
latta4congress,93575832,https://twitter.com/latta4congress
KellyforMS01,3090076743,https://twitter.com/KellyforMS01
Liz_Cheney,98471035,https://twitter.com/Liz_Cheney
LouieGohmertTX1,4827594804,https://twitter.com/LouieGohmertTX1
MacThornberry,1137590713,https://twitter.com/MacThornberry
MarkwayneMullin,366304362,https://twitter.com/MarkwayneMullin
Meuser4Congress,9.03355E+17,https://twitter.com/Meuser4Congress
MikeKellyforPA,113763245,https://twitter.com/MikeKellyforPA
MikeTurnerOH,380498919,https://twitter.com/MikeTurnerOH
MorganGriffith,130714799,https://twitter.com/MorganGriffith
PeteStauber,8.8307E+17,https://twitter.com/PeteStauber
ReElectWittman,46184745,https://twitter.com/ReElectWittman
RepHagedorn,1.08347E+18,https://twitter.com/RepHagedorn
RepLeeZeldin,2750127259,https://twitter.com/RepLeeZeldin
RepRossSpano,1.09033E+18,https://twitter.com/RepRossSpano
stevestivers,59536644,https://twitter.com/stevestivers
timburchett,353890966,https://twitter.com/timburchett
tndesjarlais,27775884,https://twitter.com/tndesjarlais
tomemmer,72431423,https://twitter.com/tomemmer
StevenPalazzo,116616867,https://twitter.com/StevenPalazzo
StewartforUtah,395419988,https://twitter.com/StewartforUtah
TeamCalvert,138553197,https://twitter.com/TeamCalvert
TeamCMR,130733698,https://twitter.com/TeamCMR
TeamMeadows,368948092,https://twitter.com/TeamMeadows
TimWalberg,146099856,https://twitter.com/TimWalberg
TomReedCongress,63073834,https://twitter.com/TomReedCongress
UptonForAllOfUs,153507902,https://twitter.com/UptonForAllOfUs
VanTaylorTX,21826591,https://twitter.com/VanTaylorTX
VickyH4Congress,7.5259E+17,https://twitter.com/VickyH4Congress
Vote_Davidson,4624539143,https://twitter.com/Vote_Davidson
WeberforTexas,373586796,https://twitter.com/WeberforTexas
WillHurd,74313566,https://twitter.com/WillHurd
RepGregMurphy,1.17398E+18,https://twitter.com/RepGregMurphy
CollinsforGA,343358379,https://twitter.com/CollinsforGA
RepDanBishop,1.17652E+18,https://twitter.com/RepDanBishop
